Semana	Objetivo	Atividades (IDs)	Foco de Desenvolvimento	Entregável
Semana 1	Fundação: Sabermos exatamente  o que estamos construindo	1, 2, 4, 5, 6, 7, início do 8	Definição inicial e estruturação	Definição do projeto
Semana 2	Requisitos e MVP	8, 9, 10, 11 (concluir); 22, 23 (começar)	Definição de escopo do MVP	Lista definitiva do que o MVP precisa fazer
Semana 3	UX + início do desenvolvimento	22, 23, 24, 25, 26 (concluir);  36, 37, 38 (começar)	Design de interface e setup de ambiente	Projeto criado no GitHub + primeiras telas funcionando
Semana 4	Frontend	38, 12, 13	Estrutura visual principal e navegação	Navegação básica do sistema funcionando
Semana 5	Inteligência	12, 13, 14, 15 (concluir); 16, 17 (começar)	Questionário e lógica de backend	Questionário estruturado e lógica definida
Semana 6	Questionário funcionando	16, 17 (concluir); 39, 42 (começar)	Fluxo de resposta e resultados	Usuário consegue responder o  questionário e receber resultado
Semana 7	Banco + integração	27, 28, 29, 30, 31, 40, 41	Persistência de dados e conexões	Sistema conectado ao banco
Semana 8	Simulados	18, 19, 20, 21	Implementação de funcionalidades de teste	Primeiro simulado funcionando
Semana 9	Funcionalidades	42	Histórico, resultados, perfil e  funcionalidades do MVP	MVP funcional
Semana 10	Testes	33, 43	Correções e tratamento de erros	MVP testado
Semana 11	Refinamento	44	Acessibilidade, responsividade, UX e visual	Versão candidata à final
Semana 12	Validação	34	Testes com usuários e coleta de feedback	Versão validada
Semana 13	Documentação	3, 35, 45, 46, 47	TCC, documentação técnica e manual	TCC + documentação técnica + manual
Semana 14	Apresentação	48	Roteiro, slides e demonstração	Apresentação pronta
Semana 15	Reserva e Entrega Final	49, 50	Correção de bugs, revisão e GitHub	Entrega final e fechamento
